UniqueID,NCTNumber,ConditionsID
1,NCT03729323,1
2,NCT03729323,2
3,NCT06150508,3
4,NCT06150508,4
5,NCT01500590,5
6,NCT01500590,6
7,NCT05202067,7
8,NCT05202067,2
9,NCT05202067,8
10,NCT02299388,9
11,NCT02299388,6
12,NCT05660928,10
13,NCT05660928,11
14,NCT03932721,12
15,NCT03932721,13
16,NCT03932721,14
17,NCT05266885,15
18,NCT00696982,11
19,NCT00696982,16
20,NCT04989634,17
21,NCT04989634,18
22,NCT00744458,5
23,NCT00744458,10
24,NCT04863755,5
25,NCT04863755,3
26,NCT02758275,13
27,NCT02758275,3
28,NCT00935805,11
29,NCT00935805,10
30,NCT02041832,10
31,NCT02041832,11
32,NCT02569151,11
33,NCT06141278,3
34,NCT06141278,5
35,NCT05524987,3
36,NCT05524987,5
37,NCT06258473,3
38,NCT06258473,5
39,NCT06143566,7
40,NCT06143566,19
41,NCT02429297,3
42,NCT02429297,5
43,NCT00978835,5
44,NCT00978835,3
45,NCT06112925,11
46,NCT06112925,3
47,NCT04229628,3
48,NCT04229628,11
49,NCT01496430,3
50,NCT01496430,5
51,NCT04076007,5
52,NCT04076007,3
53,NCT00603499,11
54,NCT00603499,19
55,NCT00603499,20
56,NCT00795262,5
57,NCT00795262,3
58,NCT05970237,11
59,NCT05970237,3
60,NCT06379750,3
61,NCT06379750,5
62,NCT01117831,11
63,NCT01117831,10
64,NCT01117831,21
65,NCT02223793,22
66,NCT02223793,21
67,NCT02223793,23
68,NCT02223793,6
69,NCT02223793,13
70,NCT04183413,11
71,NCT04183413,3
72,NCT05662930,5
73,NCT05662930,3
74,NCT02148523,8
75,NCT02148523,19
76,NCT02148523,5
77,NCT02018809,8
78,NCT02018809,19
79,NCT02018809,5
80,NCT04769141,11
81,NCT04769141,3
82,NCT00787605,3
83,NCT00787605,11
84,NCT00286741,5
85,NCT00286741,3
86,NCT00743808,3
87,NCT01977495,5
88,NCT01977495,3
89,NCT00456963,11
90,NCT00456963,3
91,NCT02406586,3
92,NCT02406586,5
93,NCT06480487,3
94,NCT06480487,5
95,NCT01416766,3
96,NCT01416766,11
97,NCT00837408,5
98,NCT00837408,3
99,NCT00837122,3
100,NCT00837122,5
101,NCT01300338,5
102,NCT01300338,3
103,NCT01130727,11
104,NCT01130727,24
105,NCT01130727,10
106,NCT00263835,5
107,NCT00263835,3
108,NCT00219102,3
109,NCT00219102,5
110,NCT01998269,5
111,NCT01998269,3
112,NCT00559286,10
113,NCT00559286,25
114,NCT04466501,5
115,NCT04466501,3
116,NCT04452331,3
117,NCT04452331,5
118,NCT00398944,11
119,NCT00398944,3
120,NCT01480791,3
121,NCT01480791,5
122,NCT00495794,5
123,NCT00495794,3
124,NCT03609294,3
125,NCT03609294,5
126,NCT01393860,5
127,NCT01393860,3
128,NCT00829296,3
129,NCT00829296,5
130,NCT00802152,3
131,NCT00802152,5
132,NCT00105898,11
133,NCT00105898,3
134,NCT02411032,5
135,NCT02411032,3
136,NCT02411006,5
137,NCT02411006,3
138,NCT00119054,11
139,NCT00119054,3
140,NCT03508739,13
141,NCT03508739,26
142,NCT03508739,3
143,NCT03508739,27
144,NCT00681278,3
145,NCT00235014,3
146,NCT00235014,5
147,NCT05955339,11
148,NCT05955339,3
149,NCT00481286,5
150,NCT00481286,3
151,NCT00219089,28
152,NCT00325624,3
153,NCT00325624,11
154,NCT04344301,11
155,NCT04344301,3
156,NCT02071498,5
157,NCT02071498,3
158,NCT01090752,5
159,NCT01090752,3
160,NCT00741702,3
161,NCT00741702,11
162,NCT01692028,5
163,NCT01692028,3
164,NCT02709031,10
165,NCT02709031,5
166,NCT02709031,29
167,NCT02709031,30
168,NCT01482247,3
169,NCT01482247,5
170,NCT01326130,5
171,NCT01326130,3
172,NCT01282957,5
173,NCT01282957,3
174,NCT03978884,11
175,NCT03978884,3
176,NCT00825695,3
177,NCT00825695,5
178,NCT03580330,11
179,NCT03580330,3
180,NCT01935349,11
181,NCT01935349,3
182,NCT05835596,18
183,NCT05835596,31
184,NCT05835596,32
185,NCT05835596,33
186,NCT01603940,3
187,NCT01603940,11
188,NCT03539627,10
189,NCT03539627,11
190,NCT03539627,34
191,NCT01409408,3
192,NCT01409408,11
193,NCT04040634,11
194,NCT04040634,19
195,NCT04040634,22
196,NCT04040634,35
197,NCT03922022,3
198,NCT03922022,11
199,NCT02312375,11
200,NCT02312375,3
201,NCT03660631,3
202,NCT03660631,11
203,NCT04286555,13
204,NCT04286555,5
205,NCT04286555,36
206,NCT04286555,37
207,NCT04286555,7
208,NCT04286555,38
209,NCT04286555,3
210,NCT04286555,19
211,NCT00847262,3
212,NCT00847262,39
213,NCT00847262,5
214,NCT03254446,5
215,NCT03254446,40
216,NCT03254446,3
217,NCT03123237,11
218,NCT03123237,3
219,NCT00060918,3
220,NCT02940275,3
221,NCT02940275,11
222,NCT01349114,5
223,NCT01349114,41
224,NCT01349114,3
225,NCT02386540,11
226,NCT02386540,3
227,NCT01368536,3
228,NCT01368536,42
229,NCT01368536,5
230,NCT02247635,39
231,NCT02247635,5
232,NCT02247635,19
233,NCT02247635,23
234,NCT01579136,3
235,NCT01579136,11
236,NCT03026426,43
237,NCT03026426,5
238,NCT03026426,3
239,NCT00242645,5
240,NCT00242645,11
241,NCT00242645,3
